id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
101,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,lux,37400,2,65,65,2018,bloc de apartamente,S+P+6E,2,6,1,1,,1,1
102,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,semidecomandat,1,39900,2,65,79,2018,bloc de apartamente,P+6E,1,6,1,1,,1,1
103,"Bucuresti, Sector 3, zona Dristor",Dristor,agency,apartament,decomandat,lux,90290,2,58,68,2020,bloc de apartamente,D+P+5E,4,5,1,1,1,1,1
104,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,700000,5,233,270,2021,bloc de apartamente,D+P+5E,5,5,1,3,,,
105,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,48000,2,42,53,2021,bloc de apartamente,D+P+10E,2,10,1,1,,,1
106,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,389888,4,161,188,2021,bloc de apartamente,D+P+5E,5,5,1,3,,,
107,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,389888,4,160,191,2021,bloc de apartamente,P+5E,5,5,1,3,,,
108,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,135000,2,50,70,2020,bloc de apartamente,D+P+6E,2,6,1,1,,,1
109,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,103320,2,47,58,2022,bloc de apartamente,D+P+5E,1,5,1,1,,,1
110,"Bucuresti, Sector 1, zona P-ta Presei Libere",P-ta Presei Libere,agency,apartament,decomandat,1,79900,2,61,72,2020,bloc de apartamente,S+P+11E,1,11,1,1,,,1
111,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,205000,2,63,76,2016,bloc de apartamente,S+P+13E,12,13,1,1,1,1,1
112,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,215000,2,88,100,2016,bloc de apartamente,S+P+13E,4,13,1,1,1,1,1
113,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,2350000,6,334,401,2019,bloc de apartamente,S+P+12E,10,12,,4,3,3,
114,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,92500,2,39,56,2020,bloc de apartamente,S+P+10E,4,10,1,1,,,1
115,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,179000,4,162,192,2021,bloc de apartamente,D+P+3E,1,3,1,2,,,1
116,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,49850,2,50,54,2019,bloc de apartamente,P+5E,4,5,1,1,,,1
117,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,semidecomandat,1,48112,2,52,59,2021,bloc de apartamente,S+P+6E,1,6,1,1,,,1
118,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,lux,55192,2,70,80,2019,bloc de apartamente,S+P+9E,8,9,1,1,,,1
119,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,semidecomandat,1,66670,2,46,58,2020,bloc de apartamente,P+4E,3,4,1,1,,,1
120,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,1,135000,4,90,124,2018,bloc de apartamente,P+5E,5,5,1,3,,2,1
121,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,,26800,1,30,,2021,bloc de apartamente,P+7E,Parter,7,1,1,,1,1
